VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-02-01 00:01:58,2018-02-01 00:04:03,1,.00,1,N,145,145,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-02-01 00:56:48,2018-02-01 00:57:42,1,2.90,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-02-01 00:04:42,2018-02-01 00:19:32,1,5.80,1,N,236,119,2,18.5,0.5,0.5,0,0,0.3,19.8
1,2018-02-01 00:38:10,2018-02-01 00:40:16,1,.30,1,N,82,82,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-02-01 00:43:03,2018-02-01 00:59:26,2,2.60,1,N,82,7,1,13,0.5,0.5,1,0,0.3,15.3
2,2018-02-01 00:04:35,2018-02-01 00:23:09,1,5.95,1,N,231,80,1,20.5,0.5,0.5,5.45,0,0.3,27.25
2,2018-02-01 00:38:19,2018-02-01 00:58:12,1,4.53,1,N,145,56,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2018-02-01 00:04:42,2018-02-01 23:54:28,1,1.19,1,N,229,161,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2018-02-01 00:01:07,2018-02-01 00:08:43,2,2.60,1,N,144,25,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2018-02-01 00:10:47,2018-02-01 00:26:52,1,3.10,1,N,234,50,1,13,0.5,0.5,2.85,0,0.3,17.15
2,2018-01-31 23:58:44,2018-02-01 00:06:42,1,1.68,1,N,244,42,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2018-02-01 00:52:22,2018-02-01 01:07:24,1,4.00,1,N,239,244,1,15,0.5,0.5,4.05,0,0.3,20.35
1,2018-02-01 00:53:17,2018-02-01 00:57:25,1,.60,1,N,68,246,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-02-01 00:02:44,2018-02-01 00:11:45,1,3.40,1,N,237,42,2,11,0.5,0.5,0,0,0.3,12.3
1,2018-02-01 00:26:59,2018-02-01 00:34:50,1,1.20,1,N,229,161,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-02-01 00:46:43,2018-02-01 00:56:00,2,3.00,1,N,229,75,1,11,0.5,0.5,2.45,0,0.3,14.75
2,2018-02-01 00:33:21,2018-02-01 00:41:21,1,.66,1,N,238,24,1,5,0.5,0.5,1.26,0,0.3,7.56
1,2018-02-01 00:20:46,2018-02-01 00:24:36,1,.70,1,N,48,163,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2018-02-01 00:33:52,2018-02-01 00:50:34,1,5.40,1,N,230,42,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2018-02-01 00:13:24,2018-02-01 00:21:38,1,1.72,1,N,264,264,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-02-01 00:37:42,2018-02-01 01:00:07,1,9.40,1,N,186,247,1,28.5,0.5,0.5,4,0,0.3,33.8
1,2018-02-01 00:20:39,2018-02-01 00:28:48,2,1.10,1,N,164,90,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-02-01 00:35:53,2018-02-01 00:52:13,4,5.10,1,N,249,236,1,16.5,0.5,0.5,3.55,0,0.3,21.35
1,2018-02-01 00:10:58,2018-02-01 00:17:05,1,1.40,1,N,141,233,1,6.5,0.5,0.5,2,0,0.3,9.8
1,2018-02-01 00:22:22,2018-02-01 00:28:06,1,1.00,1,N,161,234,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2018-02-01 00:29:38,2018-02-01 00:35:02,1,.90,1,N,237,141,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2018-02-01 00:39:15,2018-02-01 00:45:52,1,1.30,1,N,189,181,1,7,0.5,0.5,1.65,0,0.3,9.95
1,2018-02-01 00:08:28,2018-02-01 00:15:33,2,1.90,1,N,186,48,2,8,0.5,0.5,0,0,0.3,9.3
2,2018-02-01 00:03:13,2018-02-01 00:12:58,1,1.44,1,N,97,66,1,8.5,0.5,0.5,1.96,0,0.3,11.76
1,2018-02-01 00:10:44,2018-02-01 00:19:12,1,3.10,1,N,138,260,1,11,0.5,0.5,1,0,0.3,13.3
2,2018-02-01 00:09:53,2018-02-01 00:33:00,2,16.56,2,N,132,141,1,52,0,0.5,10,0,0.3,62.8
1,2018-02-01 00:02:05,2018-02-01 00:09:05,1,1.10,1,N,238,236,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-02-01 00:13:06,2018-02-01 00:31:18,1,3.50,1,N,237,79,1,15,0.5,0.5,3.25,0,0.3,19.55
1,2018-02-01 00:46:07,2018-02-01 00:51:19,2,.80,1,N,45,79,1,5.5,0.5,0.5,1.7,0,0.3,8.5
2,2018-02-01 00:09:35,2018-02-01 00:33:20,1,1.91,1,N,100,186,2,15,0.5,0.5,0,0,0.3,16.3
